,CanESM5,MPIESM,UKESM,BCC,JAMSTEC,IPSL,GFDL,ACCESS-ESM1.5,NorESM2LM,CESM2
1850,-1.6712,-1.0,1.0610558,0.0675,-0.21,-0.01,-0.6,-1.82,-0.35,0.124
1851,-0.18602,-0.53,-2.0930808,-0.3562,-1.34,-1.62,0.33,-1.4,-0.23,0.0562
1852,1.5493,2.21,-2.0296961,-1.0883,0.47,-0.32,0.65,-1.26,-0.05,0.4478
1853,3.1991,1.08,-1.0813387,-0.6798,1.37,1.04,-0.33,-3.52,-1.03,1.486
1854,1.9554,-1.87,-2.6069165,-0.6984,1.11,1.19,0.24,-2.31,-0.33,1.3557
1855,1.6931,-2.25,-2.0523356,-3.0236,1.68,1.23,1.16,-2.78,-0.96,0.5442
1856,1.673,-3.59,-1.5240826,-2.6252,0.87,0.76,0.59,-3.84,-1.25,0.9216
1857,1.7892,-4.31,-0.33624176,-1.5628,0.49,2.67,1.23,-1.16,-1.51,0.4976
1858,1.4115,-4.26,-2.2984069,-0.7278,2.64,1.59,2.1,-0.97,-1.9,1.0014
1859,2.382,-3.1,-2.2959077,-0.0354,3.39,1.12,2.95,-1.62,-1.81,0.6832
1860,2.3408,-0.48,-1.4165905,-1.1558,2.21,2.19,-0.48,-2.16,-1.36,1.2218
1861,2.7924,-2.2,-0.79501854,-2.9416,0.79,2.47,-0.56,-3.12,-1.47,2.4041
1862,4.4707,-2.84,-0.064617171,-3.101,3.25,2.34,3.48,-2.57,-1.7,2.1559
1863,3.3066,-1.96,-4.3090984,-3.0022,3.1,2.65,2.88,-3.62,-1.84,1.4135
1864,2.7267,-2.06,-3.2172298,-3.1065,3.49,1.96,2.04,-4.48,-1.9,1.9554
1865,4.5254,-3.06,-0.74625355,-4.7038,2.54,2.09,-0.31,-1.98,-1.93,1.946
1866,3.6643,-4.41,-3.1692095,-3.7782,0.64,2.72,0.05,-2.94,-2.04,1.6684
1867,3.4621,-4.95,-3.9605569,-4.7601,2.71,4.11,2.83,-4.1,-2.48,2.1467
1868,4.1743,-2.74,-5.2923624,-3.0971,3.48,3.1,3.87,-4.93,-2.63,2.9245
1869,3.3129,-1.49,-2.5764922,-3.2224,4.38,3.2,4.22,-4.12,-2.11,2.727
1870,3.2808,-3.23,-0.4095537,-4.4414,3.95,3.36,3.38,-3.85,-2.66,2.8424
1871,5.5254,-6.34,-4.3410021,-4.9695,3.15,2.6,0.91,-4.18,-2.38,2.7201
1872,3.1914,-4.18,-3.177101,-5.1097,2.71,1.94,3.79,-5.56,-2.87,1.9341
1873,3.086,-4.47,-2.845664,-4.5313,3.54,4.53,1.91,-2.72,-3.4,2.5824
1874,4.4484,-3.27,-2.2627476,-4.4962,4.44,4.61,3.86,-3.73,-3.24,3.38
1875,4.7894,-2.98,-4.6611364,-3.0436,4.96,2.18,5.27,-3.75,-3.24,2.963
1876,6.6147,-4.8,-3.9963525,-4.3639,4.91,4.75,4.88,-3.16,-2.96,2.9565
1877,7.2341,-4.19,-4.947665,-1.4411,4.3,3.36,2.31,-3.68,-3.25,3.5512
1878,3.8605,-6.09,-3.8697693,-2.7174,3.66,3.07,3.68,-3.82,-3.73,4.0723
1879,0.63171,-6.16,-2.8196367,-6.9151,4.67,5.35,4.61,-4.43,-2.86,3.6435
1880,6.5374,-4.24,-4.0013582,-7.5408,6.14,3.97,4.28,-4.27,-2.65,3.6558
1881,7.0749,-3.61,-3.3754195,-3.7888,4.52,3.16,1.57,-4.2,-2.82,4.2534
1882,4.9879,-4.53,-2.9794604,-4.0011,3.86,4.57,7.1,-3.24,-4.05,3.7023
1883,4.5352,-4.63,-4.4637038,-6.2646,4.69,5.26,3.95,-4.92,-3.81,3.5449
1884,4.4952,-7.61,-7.2660487,-6.658,5.59,3.32,-0.57,-3.17,-3.57,3.8585
1885,7.3565,-6.02,-3.68415,-6.0356,7.21,4.16,2.56,-3.69,-4.43,4.1502
1886,8.395,-4.94,-1.4126748,-4.0764,5.35,6.1,4.78,-3.16,-4.11,3.7831
1887,3.2103,-3.02,-4.5326741,-6.3232,4.71,4.8,4.34,-1.52,-4.3,4.835
1888,4.323,-5.3,-3.5380025,-4.4086,7.49,4.22,4.1,-2.36,-3.37,4.3984
1889,6.6043,-6.19,-5.318153,-6.6694,6.05,3.71,4.36,-3.32,-3.75,3.9948
1890,7.329,-3.06,-3.9793936,-5.8912,4.93,5.82,3.23,-2.93,-4.64,3.3728
1891,6.9652,-6.41,-5.0268216,-6.0164,6.89,5.17,4.15,-1.81,-4.15,3.9718
1892,4.5649,-7.82,-5.7005299,-6.7285,7.4,3.86,3.35,-2.17,-3.63,5.2236
1893,7.3583,-5.75,-4.780338,-4.8167,6.46,4.55,3.11,-2.3,-4.05,4.9104
1894,7.1862,-5.32,-1.6007134,-5.0667,5.84,7.73,5.02,-1.8,-5.07,4.529
1895,6.5711,-7.01,-2.832857,-6.7645,4.69,4.54,8.92,-1.84,-4.75,3.7934
1896,6.9282,-4.2,-2.5285513,-6.4039,4.53,4.86,4.65,-0.63,-3.83,4.9546
1897,8.8758,-6.49,-2.9976768,-5.4132,5.24,6.08,-0.29,-0.43,-4.01,4.9799
1898,8.9935,-6.19,-4.9784432,-6.0141,6.73,5.72,-0.18,-2.39,-4.39,4.0662
1899,7.8853,-4.97,-4.3164985,-7.737,7.53,4.53,5.68,-2.56,-5.19,4.5927
1900,5.0555,-2.89,-4.0386832,-9.6414,7.44,4.9,10.1,-2.84,-4.79,5.9614
1901,6.1456,-2.52,-3.7699708,-5.0422,5.15,4.74,1.47,-1.38,-4.82,4.814
1902,6.7613,-6.86,-3.291115,-8.3485,3.4,5.43,3.96,-0.96,-5.42,4.33
1903,7.1778,-6.52,-4.1454587,-7.8766,6.32,5.94,10.37,-2.01,-4.82,5.5077
1904,7.8712,-7.19,-2.326338,-3.7798,6.15,6.39,3.89,-3.42,-4.4,4.4691
1905,8.9039,-4.62,-4.9569224,-8.142,6.77,4.39,3.35,-2.79,-4.8,5.5445
1906,7.4168,-5.23,-4.6094664,-8.5621,6.77,5.14,2.27,-2.94,-5.05,4.5069
1907,5.8009,-4.71,-3.7063189,-5.3854,4.47,3.9,5.61,-2.87,-5.25,5.3753
1908,8.9872,-6.1,-4.9296713,-7.8966,5.83,4.69,1.29,-1.95,-4.89,4.9551
1909,11.674,-5.93,-3.616789,-6.9715,6.8,3.39,-0.12,-1.85,-5.04,5.3546
1910,11.228,-4.15,-5.1342115,-9.3605,6.12,6.27,5.55,-0.99,-5.1,5.2789
1911,7.1194,-4.57,-5.4236869,-7.4834,4.53,6.55,9.67,-0.82,-3.97,4.9657
1912,6.1582,-5.43,-4.7371235,-6.6516,4.59,3.54,4.15,-0.66,-4.96,5.511
1913,8.7284,-5.85,-4.7123305,-7.602,7.12,4.87,6.42,-0.89,-5.66,5.7712
1914,10.657,-5.03,-3.0977653,-5.1233,7.28,5.67,4.42,-1.49,-5.42,4.5872
1915,10.642,-5.09,-2.8445454,-8.794,7.28,4.17,4.31,0.65,-5.03,5.4038
1916,9.0892,-2.98,-3.5121513,-8.1997,2.37,4.51,0.34,0.67,-5.24,5.9155
1917,7.4789,-2.28,-4.8981812,-9.6583,5.26,5.46,3.6,-2.02,-5.18,5.0058
1918,4.5462,-8.13,-1.8023661,-4.2294,7.07,5.4,6.21,-5.41,-5.5,4.5819
1919,9.4989,-8.61,-0.79530845,-6.8792,6.45,5.63,6.82,-1.58,-6.63,5.7146
1920,10.569,-6.07,-6.1000227,-7.9875,8.2,4.88,1.34,-2.49,-5.87,5.4609
1921,9.4642,-5.11,-5.4467355,-6.2455,5.38,4.6,5.45,0.58,-5.22,5.7962
1922,9.7906,-2.44,-3.6744835,-5.6754,4.31,4.86,10.89,-1.5,-6.24,6.0204
1923,13.183,-4.01,-3.2082252,-7.1922,5.47,4.06,5.29,-2.54,-6.35,5.667
1924,10.211,-5.58,-2.9310371,-4.745,7.95,4.88,2.65,-0.66,-4.77,5.5232
1925,7.9636,-4.8,-1.9493854,-8.6409,4.18,5.06,6.77,0.86,-4.97,5.0673
1926,10.65,-2.94,-3.6476104,-7.5644,2.41,3.01,0.33,-3.01,-6.19,5.4604
1927,10.694,-3.97,-5.2705401,-7.8569,6.95,4.8,2.74,0.06,-6.07,5.8258
1928,8.9065,-5.43,-0.88745377,-5.4608,8.18,6.14,9.84,0.55,-5.23,6.07
1929,11.143,-4.17,1.3630601,-7.628,8.37,2.61,5.61,-2.89,-5.03,5.7674
1930,9.636,-5.95,-5.6067221,-7.2635,4.21,3.4,2.44,0.11,-5.39,6.0717
1931,10.702,-5.36,-5.038825,-7.1662,7.65,5.21,4.42,0.44,-6.25,5.8201
1932,10.589,-4.78,-5.2600797,-8.7887,6.46,4.35,2.17,1.99,-5.32,6.7785
1933,10.479,-5.02,-3.8246325,-7.2103,6.87,4.56,2.03,-1.38,-6.13,6.0409
1934,9.6996,-5.04,-6.0707916,-9.236,2.31,2.62,6.86,-1.15,-5.42,5.7707
1935,10.804,-2.96,-5.388454,-5.0253,4.59,2.96,3.1,1.54,-6.02,5.6439
1936,13.785,-4.09,-2.2802544,-6.0019,6.6,5.01,5.34,-1.44,-6.08,5.4774
1937,10.693,-4.66,-1.9453478,-8.1787,8.67,3.88,7.89,-2.89,-5.9,5.6152
1938,9.6111,-6.07,-3.7223819,-8.2918,6.13,3.58,4.26,-1.03,-6.06,5.4673
1939,9.0024,-5.51,-3.7170421,-4.565,4.11,4.17,-4.8,-2.52,-6.27,5.8367
1940,11.766,-3.52,-2.6444523,-7.2192,6.52,4.16,-2.32,-1.84,-5.24,6.2237
1941,10.618,-4.15,-0.22860754,-6.3467,7.16,3.65,0.46,-2.12,-5.78,6.7904
1942,9.8853,-4.21,-5.3871963,-6.6111,4.52,3.55,-3.86,-1.85,-5.85,5.9517
1943,10.049,-1.49,-3.9669138,-4.0621,5.45,3.63,6.15,-1.29,-6.11,5.5234
1944,9.7477,-4.3,-2.6744986,-7.4893,7.58,4.12,9.68,-0.59,-6.28,5.7848
1945,13.25,-4.81,-0.012578797,-10.2611,6.97,1.67,2.54,-1.18,-5.52,5.9842
1946,11.285,-4.41,-4.1638855,-6.6601,3.54,3.99,3.5,1.4,-5.98,6.082
1947,8.9423,-5.56,-6.1490593,-7.017,4.47,3.78,8.38,-0.6,-6.46,5.5775
1948,10.975,-3.39,-2.8799624,-7.9491,6.39,1.7,1.23,-0.84,-5.05,6.2312
1949,13.635,-3.85,-3.0824757,-10.0102,7.27,3.19,3.36,1.33,-6.34,5.3825
1950,14.224,-4.76,0.59763076,-5.0772,6.65,3.51,7.72,2.17,-6.31,7.3251
1951,12.294,-4.15,-3.3166875,-9.0845,6.5,3.07,1.57,-1.8,-6.4,5.3969
1952,11.716,-4.17,-4.079982,-6.4725,5.13,2.92,-0.09,-1.95,-5.25,6.2362
1953,7.704,-1.89,-0.75097119,-3.6298,4.9,1.09,4.3,-1.11,-5.48,5.9412
1954,8.3722,-1.83,-3.809338,-5.9617,5.15,4.43,8.66,-1.1,-5.39,5.3875
1955,15.395,-4.16,-6.059236,-9.6441,4.51,2.09,6.83,-0.8,-6.52,6.3712
1956,12.187,-5.34,-2.0341884,-6.3794,2.43,1.86,-2.72,-0.95,-5.85,6.0966
1957,10.967,-3.82,0.69965525,-4.5921,6.45,2.1,-0.55,-0.39,-6.62,5.7812
1958,13.687,-4.84,0.45222157,-6.0579,7.74,2.34,7.05,-2.21,-6.03,5.2119
1959,13.103,-2.17,-3.9986103,-5.5773,6.53,1.99,2.76,4.25,-6.71,6.2448
1960,8.9187,-4.2,0.85579857,-8.1897,4.78,3.58,3.91,2.31,-5.23,6.4138
1961,15.284,-3.9,-2.0272606,-8.0869,3.26,1.73,2.49,-1.99,-5.55,5.4532
1962,19.576,-3.9,-3.9184233,-7.176,7.04,2.8,6.16,0.59,-6.19,6.8928
1963,14.974,-3.62,-2.9869771,-7.8197,7.59,2.24,8.02,-3.59,-5.65,5.5559
1964,12.179,-4.74,-3.5543662,-7.4693,4.32,1.56,4.53,-0.55,-5.09,5.7975
1965,10.247,-4.4,-1.3314306,-5.2001,1.75,0.86,3.18,0.58,-6.22,5.3583
1966,11.379,-3.4,-1.2031181,-6.2844,5.31,2.01,3.14,-1.62,-6.5,5.5705
1967,12.398,-3.5,-1.8661104,-4.893,5.87,1.57,4.38,-0.52,-5.61,6.0596
1968,13.627,-3.83,-3.8537149,-9.2509,5.25,0.42,9.78,-2.48,-5.02,5.4785
1969,11.274,-2.76,-3.6483587,-5.3158,2.91,2.18,8.77,-1.46,-4.99,6.0218
1970,10.664,-4.63,-3.2411666,-5.7779,3.61,2.5,-3.04,2.77,-6.26,5.6522
1971,15.611,-4.47,-4.6104168,-6.492,6.99,0.59,-0.66,2.01,-6.09,5.5612
1972,9.8157,-3.54,0.056472624,-4.8039,6.96,0.59,4.1,3.47,-5.32,5.0826
1973,15.994,-4.11,0.87911354,-2.9909,2.05,2.72,8.03,3.57,-5.63,6.185
1974,15.169,-3.63,-2.4124618,-5.8204,4.47,2.86,8.85,0.74,-5.97,6.4002
1975,13.652,-1.35,-2.1621248,-6.2701,7.41,0.62,2.76,-1.71,-5.96,5.707
1976,9.3678,-1.09,-2.9032546,-7.0867,7.51,-1.01,4.15,-1.4,-5.99,5.5442
1977,12.997,-2.98,-4.0468076,-1.1763,1.72,2.11,-2.04,0.99,-4.87,5.691
1978,12.685,-6.44,-2.5765328,-5.5961,2.37,1.01,1.4,-1.49,-5.45,5.6198
1979,12.116,-3.99,0.47829155,-4.5677,7.16,-0.32,4.73,0.13,-5.1,5.6689
1980,11.604,-2.1,0.61417634,-4.1966,7.37,0.75,8.05,0.54,-6.01,6.0622
1981,11.397,-4.1,-0.94762473,-5.9385,5.1,1.26,7.61,0.84,-5.5,5.9448
1982,8.3554,-3.36,-3.8125304,-3.5413,2.55,2.11,0.71,-0.44,-5.96,6.1444
1983,15.113,-4.7,-3.4748967,-6.0485,7.32,-0.73,2.06,1.55,-5.9,4.4518
1984,12.348,-2.92,-0.11219483,-3.3263,6.54,1.36,4.43,-1.64,-4.39,5.1864
1985,13.787,-5.22,0.75403042,-4.369,1.22,0.16,1.3,2.36,-5.25,5.576
1986,13.736,-3.47,-1.7671786,-7.5184,4.72,-0.28,4.9,0.25,-5.72,5.4038
1987,11.879,-4.11,-1.6575278,-3.5948,5.92,0.08,7.21,-1.38,-4.78,5.438
1988,15.26,-1.9,-0.35767888,-3.3748,1.66,-0.11,3.99,3.38,-4.41,4.8388
1989,10.794,-3.68,-3.8941249,-3.232,4.11,-0.58,-2.79,-1.89,-5.87,6.0039
1990,10.511,,-0.6687884,-7.0205,6.24,-0.08,0.7,,,5.9081
1991,10.223,,-1.2894103,-3.3863,6.33,-0.31,5.9,,,5.5505
1992,8.9261,,-1.7555944,-5.3773,2.63,0.89,-0.19,,,4.4609
1993,6.8933,,2.44745,-5.8886,4.62,-1.92,4.42,,,5.6934
1994,13.306,,-1.0671288,-0.575,5.41,-2.97,3.42,,,5.748
1995,13.092,,-2.8912817,-4.752,1.65,0.53,0.89,,,3.7405
1996,13.056,,-3.2017514,-4.745,-0.23,0.15,2.57,,,4.6011
1997,12.241,,-0.085503086,-6.0071,3.99,-1.07,5.21,,,4.7539
1998,12.13,,3.175931,-3.5383,6.03,-1.74,5.63,,,5.7869
1999,8.1807,,-2.0153926,-2.5891,1.57,-0.03,0.87,,,4.4877
2000,9.8123,,-0.95699225,,,,,,,
