,CanESM5,MPIESM,UKESM,BCC,JAMSTEC,IPSL,GFDL,ACCESS-ESM1.5,NorESM2LM,CESM2
1850,-0.019056,-0.1,-0.36333443,-0.1897,0.16,0.54,0.24,-0.29,-0.14,-0.2414
1851,0.3661,-0.57,-0.5960866,-0.564,0.61,0.8,0.24,-0.73,-0.5,0.2677
1852,0.67392,-0.66,-0.90049981,-0.8168,0.96,1.03,0.74,-0.91,-0.74,0.552
1853,0.9653,-0.81,-0.97956652,-1.0387,1.08,1.26,0.86,-1.02,-0.92,0.8268
1854,1.1742,-1.15,-1.215028,-1.3243,1.22,1.42,1.19,-1.38,-1.21,0.9538
1855,1.342,-1.26,-1.4130322,-1.3839,1.38,1.59,1.51,-1.47,-1.39,1.0255
1856,1.5855,-1.26,-1.7299587,-1.6879,1.67,1.68,1.53,-1.64,-1.61,1.3649
1857,1.7416,-1.28,-1.8120935,-1.9614,1.76,1.78,1.7,-2.04,-1.79,1.6178
1858,1.8663,-1.54,-1.8383919,-2.0601,1.92,1.97,1.91,-2.08,-1.91,1.7016
1859,1.9616,-1.6,-2.0545779,-2.2288,1.99,1.99,1.73,-2.18,-2.05,1.9259
1860,2.1022,-1.82,-2.1772495,-2.2665,2.23,2.16,2.17,-2.22,-2.06,2.0676
1861,2.064,-2.0,-2.2495851,-2.5311,2.28,2.14,2.48,-2.25,-2.19,2.214
1862,2.233,-2.18,-2.3323705,-2.5926,2.37,2.32,2.41,-2.56,-2.38,2.2356
1863,2.3078,-2.11,-2.4552363,-2.7461,2.4,2.49,2.32,-2.59,-2.38,2.3857
1864,2.4341,-2.24,-2.6894403,-2.9121,2.46,2.62,2.48,-2.73,-2.37,2.3918
1865,2.5782,-2.37,-2.6184168,-3.0726,2.61,2.73,2.58,-3.1,-2.53,2.421
1866,2.6202,-2.53,-2.5875815,-3.1032,2.7,2.84,3.17,-2.92,-2.69,2.4855
1867,2.5433,-2.51,-2.6087044,-3.2029,2.79,2.73,2.99,-3.08,-2.67,2.5279
1868,2.7996,-2.7,-2.6732217,-3.2529,2.9,3.01,3.14,-3.24,-2.88,2.6598
1869,2.8792,-2.72,-2.9605742,-3.439,3.0,2.9,3.05,-3.18,-3.04,2.5698
1870,2.9558,-2.89,-2.9656837,-3.5233,3.1,3.11,3.15,-3.43,-3.04,2.6813
1871,3.106,-2.89,-2.9738479,-3.5882,3.18,3.08,3.5,-3.44,-3.08,2.7995
1872,3.1981,-2.91,-2.9031766,-3.6389,3.25,3.26,3.51,-3.53,-3.21,3.0299
1873,3.1823,-3.08,-3.1796292,-3.7188,3.21,3.31,3.7,-3.69,-3.23,3.2625
1874,3.2327,-3.31,-3.1372395,-3.7543,3.26,3.33,3.59,-3.6,-3.36,3.0897
1875,3.3065,-3.21,-3.0778983,-3.8164,3.35,3.45,3.36,-3.58,-3.43,3.1422
1876,3.2614,-3.2,-3.146968,-3.8913,3.37,3.58,3.41,-3.69,-3.36,3.0401
1877,3.3483,-3.34,-3.1793954,-3.9644,3.44,3.66,3.79,-3.76,-3.46,3.2757
1878,3.3617,-3.34,-3.3500747,-4.0831,3.43,3.54,3.8,-3.76,-3.51,3.215
1879,3.2736,-3.37,-3.4320316,-4.1777,3.45,3.72,3.87,-3.87,-3.55,3.2422
1880,3.5293,-3.44,-3.5952407,-4.2477,3.56,3.72,3.79,-3.97,-3.62,3.2345
1881,3.6317,-3.44,-3.6382791,-4.2776,3.51,3.82,4.24,-4.05,-3.64,3.3935
1882,3.5997,-3.63,-3.6677827,-4.1636,3.58,3.9,4.08,-4.04,-3.77,3.507
1883,3.7209,-3.62,-3.4565983,-4.3048,3.78,3.95,3.88,-4.1,-3.88,3.4836
1884,3.719,-3.76,-3.6048168,-4.3973,3.81,4.0,4.43,-4.26,-3.85,3.5916
