Year;GFDL-ESM2M;NorESM2;ACCESS;UKESM1;CanESM5;CESM;MPIESM;CNRM-ESM2-1;MIROC-ES2L
0.0;288.3001272120092;284.67;286.89;289.677703857;287.14;284.7;278.8405;284.317;288.50575
1.0;291.15357567007624;287.16;289.76;292.574493408;290.01;287.547;278.587;287.1602;291.96501
2.0;293.96945148170613;290.03;292.66;295.500213623;292.91;290.42247;280.653;290.0318;295.11725
3.0;296.57409304740196;292.93;295.58;298.455200195;295.84;293.3266947;283.2993;292.9321;298.07417000000004
4.0;299.0377220892896;295.86;298.54;301.439788818;298.79;296.259961647;285.1967;295.8614;301.41913
5.0;301.22094927993544;298.82;301.53;304.454162598;301.78;299.22256126347;287.2518;298.82;304.55423
6.0;303.8235642621932;301.81;304.54;307.49874877900004;304.8;302.2147868761047;290.536;301.8082;307.87331
7.0;307.483678326419;304.83;307.59;310.573730469;307.85;305.2369347448658;294.4482;304.8263;310.98942
8.0;309.89838351036286;307.88;310.66;313.679443359;310.92;308.2893040923144;298.8899;307.8746;313.70731
9.0;313.57433364650063;310.95;313.77;316.816253662;314.03;311.37219713323753;303.1018;310.9533;316.60137000000003
10.0;316.09608056597824;314.06;316.91;319.984405518;317.17;314.4859191045699;306.3772;314.0628;320.25724
11.0;318.14812108466066;317.2;320.08;323.184234619;320.34;317.6307782956156;308.9521;317.2035;323.68279
12.0;321.8062731520312;320.38;323.28;326.416107178;323.55;320.8070860785718;311.7173;320.3755;326.78623
13.0;325.67939448348983;323.58;326.51;329.680267334;326.78;324.0151569393575;315.0319;323.5793;329.53189
14.0;328.6120784787895;326.82;329.77;332.977050781;330.05;327.2553085087511;318.7698;326.8151;332.92913
15.0;331.18667795437653;330.08;333.07;336.30682373;333.35;330.5278615938386;321.5521;330.0832;336.85785
16.0;334.3488950097347;333.39;336.40;339.669891357;336.68;333.833140209777;324.0206;333.384;339.71404
17.0;337.59104234664;336.72;339.77;343.066589355;340.04;337.1714716118748;327.246;336.7179;342.74857000000003
18.0;340.80276453918583;340.09;343.16;346.4972229;343.45;340.5431863279935;330.6422;340.0851;345.60326000000003
19.0;343.4416200895475;343.49;346.60;349.96221923800005;346.88;343.94861819127345;334.0748;343.4859;348.22428
20.0;346.73861307666124;346.92;350.06;353.46182251;350.35;347.38810437318614;337.3683;346.9208;351.28656
21.0;350.3516766925228;350.39;353.56;356.996490479;353.85;350.86198541691806;339.9667;350.39;355.51152
