Year;GFDL-ESM2M;NorESM2;ACCESS;UKESM1;CanESM5;CESM;MPIESM;CNRM-ESM2-1;MIROC-ES2L
0;-0.038595544;0.14212;0.29;0.597492264;0.44771;-0.241369116;-0.0341;-0.821146;0.85392
1;0.48634635;0.49504;0.73;0.922251185;0.7119;0.267676382;0.0187;-0.244671;1.1906
2;0.712402511;0.74235;0.91;1.004735776;0.90578;0.551952712;0.4028;-0.036564;1.42356
3;0.995295963;0.9159;1.02;1.216452762;1.2007;0.826833931;0.4632;-0.029507;1.62243
4;1.170848908;1.2084;1.38;1.419103249;1.1894;0.95377523;0.5407;0.327955;1.71567
5;1.323502279;1.3909;1.47;1.746788612;1.4316;1.025534206;0.8736;0.539878;1.89228
6;1.663497821;1.6068;1.64;1.868256434;1.6738;1.364909769;1.0321;0.551897;2.0539
7;1.754737431;1.7847;2.04;1.877557579;1.7763;1.617831755;1.3015;0.663834;2.16237
8;1.790709082;1.9046;2.08;2.085661612;1.9758;1.701605785;1.81;0.917014;2.28447
9;2.075199799;2.051;2.18;2.219902879;2.1132;1.925941752;2.1252;0.855037;2.30289
10;2.094580417;2.0632;2.22;2.305196584;2.2577;2.067553617;1.9314;1.073529;2.41905
11;1.898207359;2.1878;2.25;2.371373215;2.2756;2.214039106;1.8862;0.974986;2.51944
12;2.275984118;2.3784;2.56;2.507453524;2.3253;2.235592846;1.9793;1.110835;2.60461
13;2.586846437;2.3794;2.59;2.703866508;2.3531;2.385717176;2.2381;1.38949;2.66564
14;2.575270075;2.3666;2.73;2.69990249;2.5142;2.391822687;2.4176;1.482578;2.82847
15;2.648878152;2.529;3.10;2.658389368;2.6134;2.421023117;2.3985;1.6117;2.94167
16;2.775831129;2.6883;2.92;2.668555261;2.7072;2.4855484;2.3772;1.594451;2.95008
17;2.944041219;2.6652;3.08;2.71243693;2.808;2.527853979;2.4736;1.80869;2.98726
18;3.080366134;2.876;3.24;3.006179855;2.7549;2.659821456;2.6666;1.880661;3.04589
19;2.820304312;3.0445;3.18;3.039635134;2.937;2.569833409;2.7319;1.711051;3.012
20;3.018782722;3.0392;3.43;3.044255516;3.0032;2.681281272;2.8759;1.937449;3.09822
21;3.286198037;3.075;3.44;2.965054183;3.0254;2.799473726;2.6885;2.040167;3.3424
22;3.336669456;3.2092;3.53;3.214971168;3.0798;3.029942809;2.9035;2.448762;3.33827
23;3.509383592;3.2323;3.69;3.2411104;3.2444;3.262489517;2.9196;2.401423;3.30751
24;3.668316224;3.3592;3.60;3.133562778;3.3006;3.089749265;2.991;2.136451;3.3657
25;3.37456116;3.4283;3.58;3.235916488;3.234;3.142176332;2.9225;2.32351;3.28346
26;3.4396193;3.3554;3.69;3.243081715;3.3537;3.04007318;2.9411;2.23366;3.39386
27;3.957705235;3.4576;3.76;3.388666271;3.4267;3.275742165;3.0976;2.163387;3.3702
28;3.957813673;3.5027;3.76;3.513246446;3.4309;3.215026248;3.2178;2.256899;3.5741
29;3.796379548;3.5453;3.87;3.63410982;3.5532;3.242226709;3.5032;2.362633;3.42128
30;3.82932953;3.6194;3.97;3.740414794;3.4589;3.234495865;3.5827;2.408603;3.35679
31;4.135490258;3.6413;4.05;3.734684399;3.5265;3.393545422;3.5978;2.582993;3.52672
32;4.141740409;3.7725;4.04;3.542045729;3.6482;3.506970802;3.4214;2.574675;3.72162
33;3.73568405;3.8793;4.10;3.696378731;3.6236;3.48355876;3.407;2.733233;3.61038
34;3.939590067;3.8461;4.26;3.688658166;3.568;3.591574969;3.5313;2.613888;3.69329
35;4.383876964;3.9558;4.30;3.638198332;3.7366;3.754379677;3.6952;2.754424;3.65109
36;4.797038391;3.9136;4.20;3.780027747;3.9141;3.718810893;3.6639;2.795802;3.76768
37;4.358573073;3.9648;4.34;3.951101866;3.9767;3.723658875;3.7731;2.858362;3.94265
38;4.143986917;3.9663;4.30;3.885125414;3.8917;3.72183089;3.8026;2.923066;3.96596
39;4.557748243;4.0139;4.33;4.021737208;3.9556;3.643485373;3.7451;2.911346;3.9483
40;4.647565445;4.0807;4.42;3.829077345;4.0506;3.740122851;3.7485;2.774591;4.18232
41;4.471367059;4.1823;4.52;3.776499831;3.8982;3.796858524;3.834;3.020802;4.16344
42;4.339216471;4.0862;4.51;4.053585333;3.9364;3.868429824;3.9126;3.189429;4.08798
43;4.726869502;4.27;4.54;4.143860276;3.8337;3.824451314;3.965;3.116777;3.87989
44;4.892961824;4.251;4.56;4.162089895;3.969;3.871088502;4.0209;3.093801;3.91505
45;4.727144816;4.2661;4.61;4.332887513;4.04;3.926443783;4.0559;3.069823;3.99547
46;4.496927505;4.3163;4.70;4.274276641;4.0953;4.041353838;4.2272;2.882043;4.21093
47;4.596462026;4.2382;4.68;4.057032986;4.1156;3.998157251;4.1521;3.236556;4.13777
48;5.153893805;4.3302;4.62;4.258781852;4.1848;4.026705945;4.2249;3.056972;4.03675
49;5.04524729;4.4685;4.90;4.223744639;4.0421;4.202868992;4.2436;3.170832;4.08185
50;4.922927245;4.4192;4.76;4.317391977;4.0608;4.177552233;4.2331;3.286715;4.02752
51;5.039647497;4.5359;4.98;4.303816676;4.0777;4.092692711;3.9539;3.171735;4.23209
52;5.169374611;4.5652;4.89;4.327101413;4.2602;4.264914171;4.0045;3.262396;4.39901
53;4.788845259;4.4575;4.97;4.219130067;4.2552;4.198072655;4.3126;3.191309;4.36222
54;4.712770562;4.3262;4.96;4.298802984;4.1021;4.189573051;4.4264;3.130954;4.22339
55;5.342349017;4.6248;4.97;4.420771485;4.1443;4.302460199;4.317;3.503879;4.42903
56;5.275078875;4.6103;4.99;4.412523759;4.2911;4.261151619;4.4405;3.396969;4.47813
57;4.996014906;4.6348;4.98;4.431261569;4.3345;4.305561702;4.4106;3.393431;4.4725
58;5.204417455;4.601;4.98;4.417306442;4.3407;4.404897162;4.3472;3.361469;4.31097
59;5.301555609;4.6798;5.10;4.504441838;4.3681;4.289424849;4.4739;3.328473;4.171
60;5.471815492;4.6559;5.13;4.543019734;4.4055;4.356808033;4.5534;3.429502;4.46101
61;4.905647345;4.7049;5.03;4.473630374;2.5299;4.516577819;4.3907;3.355971;4.54342
62;3.609517314;4.6928;5.24;4.396983591;2.3764;4.38173478;4.5906;3.537392;4.68606
63;3.288233162;4.9739;5.05;4.486413984;2.1446;4.42307597;4.4698;3.645857;2.97671
64;3.346488966;5.0286;5.11;4.483972049;1.9017;4.569323114;4.4761;3.481638;2.67694
65;2.740269943;4.8132;5.10;4.546230418;1.7338;4.310758016;3.9047;3.654496;2.44852
66;2.810085926;4.0216;5.07;3.191774263;1.5066;4.471434177;3.2279;3.507066;2.26768
67;3.024478121;3.4695;4.08;2.847673676;1.4891;3.70347071;3.0586;3.660281;2.14603
68;2.390994125;3.3055;3.64;2.55145379;1.4406;3.08206432;2.9208;3.502023;2.12736
69;2.324634404;2.8888;3.56;2.419218469;1.3277;2.67421624;2.4875;3.51567;1.96312
70;2.102429582;2.6829;3.31;2.286045713;1.0963;2.2679589;2.583;3.456365;1.79708
71;2.061233821;2.5139;2.99;2.122977685;1.1256;2.21936152;2.3677;1.075928183;1.60391
72;2.144537738;2.3158;2.78;2.030195069;1.1694;2.20468443;2.3562;1.194383162;1.64336
73;2.048763318;2.2206;2.85;1.912171842;0.97031;1.98393566;2.1333;1.305884112;1.60096
74;1.424269703;1.9544;2.57;1.850132417;0.91914;1.74255632;1.9782;1.575572419;1.56613
75;1.346930972;1.9756;2.62;1.791946874;1.0724;1.83782589;1.7918;1.723464475;1.4531
76;1.319579224;1.9617;2.58;1.906473623;0.88086;1.88271257;1.8862;1.686127438;1.52939
77;1.264178865;1.9203;2.34;1.831311888;0.90541;1.69875824;1.7845;1.507719844;1.41733
78;1.50910783;1.8484;2.24;1.83664856;0.81467;1.59383207;1.7779;1.899694812;1.5486
79;1.572722462;1.6568;2.07;1.685962844;0.94564;1.46674618;1.753;1.634538983;1.44121
80;1.509017472;1.8491;2.10;1.502445036;0.80825;1.57093905;1.6849;1.791521674;1.3322
81;1.064080586;1.479;2.01;1.256145617;0.919;1.43207852;1.6522;1.988916863;1.4313
82;1.264067227;1.5407;1.91;1.431472519;0.84911;1.39197648;1.5273;2.001738121;1.45896
83;1.655069224;1.6261;1.88;1.514676915;0.67365;1.57198976;1.3797;1.891699652;1.26199
84;1.669149887;1.5324;1.96;1.407781515;0.73107;1.39557315;1.3234;2.255680648;1.35543
85;0.822688142;1.3692;1.97;1.396434066;0.83549;1.3751632;1.3584;2.518209259;1.34042
86;0.65301489;1.4403;1.78;1.27160265;0.76149;1.14710259;1.2817;2.643329125;1.28098
87;1.16088026;1.2958;1.74;1.441102964;0.76471;1.05820436;1.3994;2.235305469;1.34782
88;1.599994888;1.2542;1.77;1.387569918;0.64643;1.00316626;1.3038;1.992649719;1.36587
89;1.242351083;1.4551;1.56;1.298170766;0.74277;1.15624325;1.2901;1.860846823;1.36669
90;1.60782959;1.278;1.46;1.408624518;0.78594;1.29614231;1.3172;1.820972169;1.31328
91;1.284687073;1.1784;1.48;1.371959961;0.62494;1.29713122;1.2454;1.676335061;1.30716
92;1.078982807;1.2995;1.60;1.34056225;0.59653;1.13985765;1.1958;1.41876132;1.30155
93;1.160572158;1.0688;1.45;1.37400849;0.58054;1.02159001;1.1987;1.748314348;1.38597
94;1.28761743;1.057;1.53;1.353501105;0.58051;1.07854786;1.3145;1.651142062;1.18818
95;1.451226115;1.2062;1.48;1.289457284;0.67564;1.1501236;1.2644;1.793760549;1.24682
96;0.919350426;1.0663;1.45;1.197569568;0.66776;1.03196343;1.0838;1.309092492;1.23586
97;0.521348402;1.086;1.57;1.137140002;0.70158;0.89738071;1.1052;1.2827504;1.2365
98;0.957225109;1.2186;1.63;1.144508457;0.60641;1.04697703;0.9262;0.981801101;1.39838
99;1.046851904;1.0073;1.60;1.030823098;0.66816;0.97252312;1.0792;0.896094419;1.24681
100;0.792612787;1.0096;1.57;0.903001712;0.59237;0.88041108;1.0608;0.70301898;1.25966
101;0.931652521;1.1351;1.55;0.899416537;0.53296;0.8715932;1.2187;0.209377786;1.17075
102;0.839147165;1.1422;1.58;1.101297196;0.62892;0.83645685;1.0004;0.619621234;1.11669
103;1.035662405;0.91583;1.50;1.128080809;0.6309;0.75825923;1.1699;0.032208317;1.12031
104;1.155067715;0.8409;1.39;0.861392588;0.70826;0.7644954;1.255;0.105855532;1.25274
105;1.313956377;1.0594;1.27;1.030614089;0.64079;0.65760083;1.268;0.183460029;1.31644
106;1.047644031;0.91218;1.32;1.257807443;0.55592;0.86143175;1.061;0.601527995;1.12368
107;0.492396914;0.95574;1.23;1.036947611;0.49319;0.60354443;0.7725;0.33613629;1.29103
108;0.27346505;0.89976;1.15;1.085466587;0.54592;0.75987124;0.9515;0.811128077;1.20983
109;0.656732693;1.074;1.36;1.124304;0.6351;0.67089313;1.035;0.682134811;1.1082
