Year,GFDL-ESM2M,NorESM2,ACCESS,UKESM1,CanESM5,CESM,MPIESM,CNRM-ESM2-1,MIROC-ES2L
0.0,2.4479697139066747,0.35637,1.82,1.92096800138,0.98442,0.12379289543188952,0.6784,-0.012011,0.61159
1.0,-1.9826233769086243,0.23457,1.4,2.20645645493,0.38474,0.05596613405874237,0.8388,0.349054,0.2988699999999999
2.0,0.4978336588785972,0.046481,1.26,0.997317301155,0.68718,0.4476413508936092,-1.0957,1.388273,1.49735
3.0,-0.44902651972453744,1.0472,3.52,2.66764966295,1.0767,1.485820163269369,-0.0275,1.225627,1.1191
4.0,1.360020535099616,0.33519,2.31,2.1297088333,2.1198,1.355500509399084,2.128,1.354887,0.74725
5.0,3.067931428880833,0.97234,2.78,1.5546224352000002,1.5855,0.5439120819556003,1.9558,0.720787,1.74198
6.0,2.4400925273045906,1.2631,3.84,0.2958750934369999,0.79494,0.921190514585254,1.1812,0.040859,0.93396
7.0,0.18963898112140365,1.5338,1.16,2.2623982962,1.3975,0.49723167247109,0.4257,3.131193,2.32104
8.0,2.562781362204055,1.9233,0.97,2.21451767741,2.7357,1.001079652251028,0.5322,1.23096,2.91551
9.0,1.1318831012204715,1.8306,1.62,1.60596277809,1.725,0.6828293454119264,1.9382,1.135197,2.2227200000000003
10.0,3.1542304424160443,1.3777,2.16,0.7500007394760001,3.3562,1.2215339493488815,3.3929,1.648197,1.08987
11.0,5.90304964215233,1.4936,3.12,0.0860181406329,2.7409,2.403668805352019,1.6451,2.81993,2.5232900000000003
12.0,1.7187594872916172,1.7259,2.57,4.3431985416000005,2.5352,2.1554458385459867,2.3756,1.455883,3.61409
13.0,0.6438458832026299,1.8678,3.62,3.22325255806,2.1123,1.4132086884073847,0.8141,0.600724,3.44979
14.0,3.358573433494093,1.923,4.48,0.520758909487,2.8795,1.9545208285353672,1.9207,1.928297,1.6845900000000005
15.0,4.603333872351036,1.9557,1.98,2.9892856878400003,1.1391,1.9456383748669088,3.5215,2.253534,2.59536
16.0,3.63607370979244,2.0649,2.94,3.89007133496,4.3177,1.6679291523167636,3.7098,4.342296,4.78567
17.0,4.354113079941262,2.5149,4.1,5.44933971789,3.8269,2.145534959394112,4.4095,2.585685,3.63301
18.0,4.600687182856417,2.666,4.93,2.81837329268,1.5738,2.9237568618692817,4.6205,3.844927,5.1237
19.0,7.9581837733270815,2.1393,4.12,0.14768870922,3.3542,2.7256421702761724,1.5446,2.585628,5.322430000000001
20.0,5.8921173223620364,2.6996,3.85,4.53437923083,4.6553,2.8406567516459367,3.3486,3.014287,3.63365
21.0,5.021902785291925,2.4086,4.18,2.95116584992,4.4951,2.7196875041970467,5.0647,3.972086,1.57216
22.0,3.693127454978105,2.9104,5.56,3.3873875822,3.8271,1.9329825321757632,5.1441,1.93122,3.48946
23.0,5.831196821745271,3.4501,2.72,1.87284529266,5.6299,2.5811867898751584,4.031,2.956454,5.05405
24.0,3.0744298752196393,3.2806,3.73,4.56549467666,3.8457,3.379206845540091,5.6109,4.372278,5.69095
25.0,9.241222523951693,3.2886,3.75,4.18309391805,4.9322,2.961272980305208,5.1339,3.891723,4.91121
26.0,6.084301583469412,3.0056,3.16,4.8276781798,6.2362,2.9536842338222464,5.3416,4.256059,3.87887
27.0,3.398993835566291,3.298,3.68,3.80147148891,7.7658,3.5498133973803867,3.403,2.894749,4.60798
28.0,4.699218338891749,3.783,3.82,3.01626006856,6.3827,4.068300175942896,2.9195,3.583405,5.96263
29.0,6.222162702975649,2.9021,4.43,3.9889032201,5.0817,3.640124801922176,4.9835,4.906647,6.53443
30.0,6.413943653743518,2.6899,4.27,3.37421420347,5.3711,3.6531397917504247,3.7899,3.940603,6.0512
31.0,6.3703544984505855,2.8605,4.2,3.0590061116900005,5.0104,4.250704695835862,3.8046,5.041248,5.02883
32.0,5.484473234047648,4.1076,3.24,4.299428487759999,4.9309,3.7001968674039647,5.1004,4.375533,3.72596
33.0,12.688985559253219,3.8586,4.92,6.99929400325,4.0606,3.542337225913009,5.9095,4.050799,5.398569999999999
34.0,9.604277166820653,3.6187,3.17,4.09934905069,3.8325,3.854198509174052,5.467,4.704753,5.71615
35.0,-1.4941434545923507,4.4874,3.69,1.28155714968,4.0123,4.1486562469586605,4.9339,4.152441,5.27257
36.0,1.0705508923195617,4.1643,3.16,4.58471063921,7.1825,3.7811779936471273,5.3674,3.54242,4.812130000000001
37.0,9.851133761137625,4.3566,1.52,3.5948834341300007,8.1692,4.832042300535753,3.9478,5.722339,5.30208
38.0,9.382647786319252,3.4196,2.36,5.16585639312,6.2452,4.397434913340286,6.3041,4.365305,5.80545
39.0,2.350359277624111,3.8031,3.32,4.0368300988,5.5832,3.9931576742161896,4.4034,5.595108,4.81754
40.0,4.055472334348625,4.709,2.93,4.86815543169,6.7541,3.3693976655207463,4.9415,4.541725,4.97392
41.0,8.414870311304771,4.2112,1.81,5.71414876452,5.1617,3.9683307178556873,6.6703,7.368643,5.94503
42.0,9.612897945347509,3.6821,2.17,4.84851589764,5.4352,5.220724887517564,6.2182,4.852284,7.72041
43.0,5.475113952421525,4.1054,2.3,1.90254257946,6.1035,4.907619536629694,6.0864,2.917292,8.04063
44.0,4.316039533879408,5.1444,1.8,2.80465780955,7.3942,4.524708254980771,3.4775,5.217421,6.43558
45.0,6.70558578511816,4.8114,1.84,2.5754472345700004,7.6787,3.790102282473176,3.4946,4.745534,3.07076
46.0,12.77032033139165,3.8791,0.63,2.67700968648,8.0003,4.953188077321876,5.1406,6.622814,4.69477
47.0,6.269455719931793,4.0609,0.43,5.00025795112,7.4095,4.978086376514588,5.5341,6.017595,7.82413
48.0,5.6196405309271675,4.4476,2.39,4.30231957657,6.0032,4.063751769042385,7.322,3.965948,7.23228
49.0,2.8887985871212725,5.2649,2.56,4.310492292059999,7.4646,4.58932144118442,5.2919,6.562643,8.0999
50.0,6.460860099048153,4.8549,2.84,3.5020022559900004,4.8856,5.9598139863109445,7.8618,5.135449,5.65712
51.0,6.188062441202674,4.8834,1.38,3.45706878453,6.3921,4.810852347510802,5.3792,6.276091,3.97479
52.0,1.3308274811665535,5.4947,0.96,4.1936131241900005,10.11,4.32634695927813,2.9741,6.082334,7.238569999999999
53.0,15.034036590014072,4.887,2.01,2.21407886865,10.044,5.504225035948963,6.3913,6.742208,6.908989999999999
54.0,11.701680436512968,4.4614,3.42,4.84069495551,7.3728,4.465768438410577,4.7338,6.530812,7.23941
55.0,3.876728493457184,4.8676,2.79,4.41080654798,9.1659,5.5407542982653775,4.6382,4.517179,5.6411
56.0,6.715740267640641,5.1166,2.94,4.08001798176,7.582000000000002,4.501336920811689,4.9701,6.904484,3.37949
57.0,10.1559784705543,5.327,2.87,4.92946252736,7.044,5.3707882904801245,5.919,7.957116,7.29242
58.0,4.6913640119646685,4.9554,1.95,3.42746260582,8.2134,4.950309122866633,6.4284,4.88958,8.35255
59.0,7.224416561101503,5.1093,1.85,5.107513183380001,9.5053,5.3504800360816045,5.4704,5.531771,7.37782
60.0,3.506320335768198,5.1679,0.99,5.33016365518,7.9426,5.273250793270005,6.2193,7.848274,3.80041
61.0,5.6110951615333695,4.023,0.82,4.98909533452,8.8592,4.957035470539913,4.2766,6.465678,5.00416
62.0,8.055896682417446,5.0314,0.66,4.61440906027,5.7325,5.503337180242382,5.5531,6.744342,6.51998
63.0,1.6755924140031997,5.7343,0.89,3.05802530535,6.2774,5.7620504135009885,5.5173,5.971432,7.05116
64.0,4.023507603175451,5.4978,1.49,2.85709288385,8.5436,4.580585046165014,3.9765,6.708027,2.67234
65.0,6.064998004584504,5.0975,-0.65,3.3978495148000003,4.3221,5.397614720712193,6.4982,6.98057,3.48342
