#Emission rates for flat10 experiment (PgC per year).
#CO2 is emitted for 100 years. Followed by 200 years of zero emissions.
#Generated by Benjamin Sanderson Sep 21 2023. benjamin.sanderson@cicero.oslo.no
#
Time (years),Emission Rate (PgC a-1)
0.5,10.00
1.5,10.00
2.5,10.00
3.5,10.00
4.5,10.00
5.5,10.00
6.5,10.00
7.5,10.00
8.5,10.00
9.5,10.00
10.5,10.00
11.5,10.00
12.5,10.00
13.5,10.00
14.5,10.00
15.5,10.00
16.5,10.00
17.5,10.00
18.5,10.00
19.5,10.00
20.5,10.00
21.5,10.00
22.5,10.00
23.5,10.00
24.5,10.00
25.5,10.00
26.5,10.00
27.5,10.00
28.5,10.00
29.5,10.00
30.5,10.00
31.5,10.00
32.5,10.00
33.5,10.00
34.5,10.00
35.5,10.00
36.5,10.00
37.5,10.00
38.5,10.00
39.5,10.00
40.5,10.00
41.5,10.00
42.5,10.00
43.5,10.00
44.5,10.00
45.5,10.00
46.5,10.00
47.5,10.00
48.5,10.00
49.5,10.00
50.5,10.00
51.5,10.00
52.5,10.00
53.5,10.00
54.5,10.00
55.5,10.00
56.5,10.00
57.5,10.00
58.5,10.00
59.5,10.00
60.5,10.00
61.5,10.00
62.5,10.00
63.5,10.00
64.5,10.00
65.5,10.00
66.5,10.00
67.5,10.00
68.5,10.00
69.5,10.00
70.5,10.00
71.5,10.00
72.5,10.00
73.5,10.00
74.5,10.00
75.5,10.00
76.5,10.00
77.5,10.00
78.5,10.00
79.5,10.00
80.5,10.00
81.5,10.00
82.5,10.00
83.5,10.00
84.5,10.00
85.5,10.00
86.5,10.00
87.5,10.00
88.5,10.00
89.5,10.00
90.5,10.00
91.5,10.00
92.5,10.00
93.5,10.00
94.5,10.00
95.5,10.00
96.5,10.00
97.5,10.00
98.5,10.00
99.5,10.00
100.5,9.90
101.5,9.70
102.5,9.50
103.5,9.30
104.5,9.10
105.5,8.90
106.5,8.70
107.5,8.50
108.5,8.30
109.5,8.10
110.5,7.90
111.5,7.70
112.5,7.50
113.5,7.30
114.5,7.10
115.5,6.90
116.5,6.70
117.5,6.50
118.5,6.30
119.5,6.10
120.5,5.90
121.5,5.70
122.5,5.50
123.5,5.30
124.5,5.10
125.5,4.90
126.5,4.70
127.5,4.50
128.5,4.30
129.5,4.10
130.5,3.90
131.5,3.70
132.5,3.50
133.5,3.30
134.5,3.10
135.5,2.90
136.5,2.70
137.5,2.50
138.5,2.30
139.5,2.10
140.5,1.90
141.5,1.70
142.5,1.50
143.5,1.30
144.5,1.10
145.5,0.90
146.5,0.70
147.5,0.50
148.5,0.30
149.5,0.10
150.5,-0.10
151.5,-0.30
152.5,-0.50
153.5,-0.70
154.5,-0.90
155.5,-1.10
156.5,-1.30
157.5,-1.50
158.5,-1.70
159.5,-1.90
160.5,-2.10
161.5,-2.30
162.5,-2.50
163.5,-2.70
164.5,-2.90
165.5,-3.10
166.5,-3.30
167.5,-3.50
168.5,-3.70
169.5,-3.90
170.5,-4.10
171.5,-4.30
172.5,-4.50
173.5,-4.70
174.5,-4.90
175.5,-5.10
176.5,-5.30
177.5,-5.50
178.5,-5.70
179.5,-5.90
180.5,-6.10
181.5,-6.30
182.5,-6.50
183.5,-6.70
184.5,-6.90
185.5,-7.10
186.5,-7.30
187.5,-7.50
188.5,-7.70
189.5,-7.90
190.5,-8.10
191.5,-8.30
192.5,-8.50
193.5,-8.70
194.5,-8.90
195.5,-9.10
196.5,-9.30
197.5,-9.50
198.5,-9.70
199.5,-9.90
200.5,-10.00
201.5,-10.00
202.5,-10.00
203.5,-10.00
204.5,-10.00
205.5,-10.00
206.5,-10.00
207.5,-10.00
208.5,-10.00
209.5,-10.00
210.5,-10.00
211.5,-10.00
212.5,-10.00
213.5,-10.00
214.5,-10.00
215.5,-10.00
216.5,-10.00
217.5,-10.00
218.5,-10.00
219.5,-10.00
220.5,-10.00
221.5,-10.00
222.5,-10.00
223.5,-10.00
224.5,-10.00
225.5,-10.00
226.5,-10.00
227.5,-10.00
228.5,-10.00
229.5,-10.00
230.5,-10.00
231.5,-10.00
232.5,-10.00
233.5,-10.00
234.5,-10.00
235.5,-10.00
236.5,-10.00
237.5,-10.00
238.5,-10.00
239.5,-10.00
240.5,-10.00
241.5,-10.00
242.5,-10.00
243.5,-10.00
244.5,-10.00
245.5,-10.00
246.5,-10.00
247.5,-10.00
248.5,-10.00
249.5,-10.00
250.5,-10.00
251.5,-10.00
252.5,-10.00
253.5,-10.00
254.5,-10.00
255.5,-10.00
256.5,-10.00
257.5,-10.00
258.5,-10.00
259.5,-10.00
260.5,-10.00
261.5,-10.00
262.5,-10.00
263.5,-10.00
264.5,-10.00
265.5,-10.00
266.5,-10.00
267.5,-10.00
268.5,-10.00
269.5,-10.00
270.5,-10.00
271.5,-10.00
272.5,-10.00
