#Emission rates for esm_flat10_zec experiment (PgC per year).
#CO2 is emitted at 10PgC/yr for 100 years (can be branched from esm_flat10 in year 100). Followed by 220 years of zero emissions.
#Generated by Benjamin Sanderson Sep 21 2023. benjamin.sanderson@cicero.oslo.no
#
Time (years),Emission Rate (PgC a-1)
0.5,10.00
1.5,10.00
2.5,10.00
3.5,10.00
4.5,10.00
5.5,10.00
6.5,10.00
7.5,10.00
8.5,10.00
9.5,10.00
10.5,10.00
11.5,10.00
12.5,10.00
13.5,10.00
14.5,10.00
15.5,10.00
16.5,10.00
17.5,10.00
18.5,10.00
19.5,10.00
20.5,10.00
21.5,10.00
22.5,10.00
23.5,10.00
24.5,10.00
25.5,10.00
26.5,10.00
27.5,10.00
28.5,10.00
29.5,10.00
30.5,10.00
31.5,10.00
32.5,10.00
33.5,10.00
34.5,10.00
35.5,10.00
36.5,10.00
37.5,10.00
38.5,10.00
39.5,10.00
40.5,10.00
41.5,10.00
42.5,10.00
43.5,10.00
44.5,10.00
45.5,10.00
46.5,10.00
47.5,10.00
48.5,10.00
49.5,10.00
50.5,10.00
51.5,10.00
52.5,10.00
53.5,10.00
54.5,10.00
55.5,10.00
56.5,10.00
57.5,10.00
58.5,10.00
59.5,10.00
60.5,10.00
61.5,10.00
62.5,10.00
63.5,10.00
64.5,10.00
65.5,10.00
66.5,10.00
67.5,10.00
68.5,10.00
69.5,10.00
70.5,10.00
71.5,10.00
72.5,10.00
73.5,10.00
74.5,10.00
75.5,10.00
76.5,10.00
77.5,10.00
78.5,10.00
79.5,10.00
80.5,10.00
81.5,10.00
82.5,10.00
83.5,10.00
84.5,10.00
85.5,10.00
86.5,10.00
87.5,10.00
88.5,10.00
89.5,10.00
90.5,10.00
91.5,10.00
92.5,10.00
93.5,10.00
94.5,10.00
95.5,10.00
96.5,10.00
97.5,10.00
98.5,10.00
99.5,10.00
100.5,0.00
101.5,0.00
102.5,0.00
103.5,0.00
104.5,0.00
105.5,0.00
106.5,0.00
107.5,0.00
108.5,0.00
109.5,0.00
110.5,0.00
111.5,0.00
112.5,0.00
113.5,0.00
114.5,0.00
115.5,0.00
116.5,0.00
117.5,0.00
118.5,0.00
119.5,0.00
120.5,0.00
121.5,0.00
122.5,0.00
123.5,0.00
124.5,0.00
125.5,0.00
126.5,0.00
127.5,0.00
128.5,0.00
129.5,0.00
130.5,0.00
131.5,0.00
132.5,0.00
133.5,0.00
134.5,0.00
135.5,0.00
136.5,0.00
137.5,0.00
138.5,0.00
139.5,0.00
140.5,0.00
141.5,0.00
142.5,0.00
143.5,0.00
144.5,0.00
145.5,0.00
146.5,0.00
147.5,0.00
148.5,0.00
149.5,0.00
150.5,0.00
151.5,0.00
152.5,0.00
153.5,0.00
154.5,0.00
155.5,0.00
156.5,0.00
157.5,0.00
158.5,0.00
159.5,0.00
160.5,0.00
161.5,0.00
162.5,0.00
163.5,0.00
164.5,0.00
165.5,0.00
166.5,0.00
167.5,0.00
168.5,0.00
169.5,0.00
170.5,0.00
171.5,0.00
172.5,0.00
173.5,0.00
174.5,0.00
175.5,0.00
176.5,0.00
177.5,0.00
178.5,0.00
179.5,0.00
180.5,0.00
181.5,0.00
182.5,0.00
183.5,0.00
184.5,0.00
185.5,0.00
186.5,0.00
187.5,0.00
188.5,0.00
189.5,0.00
190.5,0.00
191.5,0.00
192.5,0.00
193.5,0.00
194.5,0.00
195.5,0.00
196.5,0.00
197.5,0.00
198.5,0.00
199.5,0.00
200.5,0.00
201.5,0.00
202.5,0.00
203.5,0.00
204.5,0.00
205.5,0.00
206.5,0.00
207.5,0.00
208.5,0.00
209.5,0.00
210.5,0.00
211.5,0.00
212.5,0.00
213.5,0.00
214.5,0.00
215.5,0.00
216.5,0.00
217.5,0.00
218.5,0.00
219.5,0.00
220.5,0.00
221.5,0.00
222.5,0.00
223.5,0.00
224.5,0.00
225.5,0.00
226.5,0.00
227.5,0.00
228.5,0.00
229.5,0.00
230.5,0.00
231.5,0.00
232.5,0.00
233.5,0.00
234.5,0.00
235.5,0.00
236.5,0.00
237.5,0.00
238.5,0.00
239.5,0.00
240.5,0.00
241.5,0.00
242.5,0.00
243.5,0.00
244.5,0.00
245.5,0.00
246.5,0.00
247.5,0.00
248.5,0.00
249.5,0.00
250.5,0.00
251.5,0.00
252.5,0.00
253.5,0.00
254.5,0.00
255.5,0.00
256.5,0.00
257.5,0.00
258.5,0.00
259.5,0.00
260.5,0.00
261.5,0.00
262.5,0.00
263.5,0.00
264.5,0.00
265.5,0.00
266.5,0.00
267.5,0.00
268.5,0.00
269.5,0.00
270.5,0.00
271.5,0.00
272.5,0.00
273.5,0.00
274.5,0.00
275.5,0.00
276.5,0.00
277.5,0.00
278.5,0.00
279.5,0.00
280.5,0.00
281.5,0.00
282.5,0.00
283.5,0.00
284.5,0.00
285.5,0.00
286.5,0.00
287.5,0.00
288.5,0.00
289.5,0.00
290.5,0.00
291.5,0.00
292.5,0.00
293.5,0.00
294.5,0.00
295.5,0.00
296.5,0.00
297.5,0.00
298.5,0.00
299.5,0.00
300.5,0.00
301.5,0.00
302.5,0.00
303.5,0.00
304.5,0.00
305.5,0.00
306.5,0.00
307.5,0.00
308.5,0.00
309.5,0.00
310.5,0.00
311.5,0.00
312.5,0.00
313.5,0.00
314.5,0.00
315.5,0.00
316.5,0.00
317.5,0.00
318.5,0.00
319.5,0.00
