,Land Sink Lag,Land Sink Scaling
ACCESS-ESM1-5,0.5728599552073849,0.5728599552073849
CESM2,18.358789266222683,18.358789266222683
GFDL-ESM4,13.632123671218592,13.632123671218592
GISS,5.12844555485134,5.12844555485134
NorESM2-LM,12.622753736194657,12.622753736194657
MPI-ESM1-2-LR,12.335261901000656,12.335261901000656
CNRM-ESM2-1,15.458042517979665,15.458042517979665
UKESM,4.37426153901122,4.37426153901122
UVic-ESCM-2-10,3.672966505707892,3.672966505707892
HadCM3LC-Bris,3.1902864299530944,3.1902864299530944
