,Ocean Sink Lag 1,Ocean Sink Lag 2,Ocean Sink Scaling 1,Ocean Sink Scaling 2
ACCESS-ESM1-5,2.79267998038893,122.61193657783161,0.08754005153745521,0.002410974020939464
CESM2,2.973392291971735,205.87795480181614,0.08238527382591378,0.0010503919228309188
GFDL-ESM4,3.6243049149106676,254.84847638964766,0.0781434889667177,0.0011101217648272264
GISS,3.462491196836741,181.30384600202774,0.07388922968076679,0.002005427255307182
NorESM2-LM,1.8261432055104794,354.85226998802256,0.16307067516849696,0.001006236993958265
MPI-ESM1-2-LR,3.7172663683103284,158.63710663598607,0.06033523057544251,0.0014566804393592798
CNRM-ESM2-1,2.294208433504988,421.07849308348887,0.11473378196382926,0.000999304889533072
UKESM,2.6801948186703974,164.05324514561156,0.08873357203039665,0.001460287593157875
UVic-ESCM-2-10,7.601272906421839,179.33437048657396,0.029391687244175697,0.0016595178116097008
HadCM3LC-Bris,2.6961709776876677,128.49481478237598,0.11359373627653067,0.002276164806248343
