,Ocean Sink Lag,Ocean Sink Scaling
ACCESS-ESM1-5,28.574901234837707,28.574901234837707
CESM2,11.642911223032955,11.642911223032955
GFDL-ESM4,11.867669800196815,11.867669800196815
GISS,31.39291726504124,31.39291726504124
NorESM2-LM,9.50864929134336,9.50864929134336
MPI-ESM1-2-LR,19.67674564962675,19.67674564962675
CNRM-ESM2-1,11.875184767825816,11.875184767825816
UKESM,17.77671817483309,17.77671817483309
UVic-ESCM-2-10,32.6020134326141,32.6020134326141
HadCM3LC-Bris,19.15162130462524,19.15162130462524
