,Atm CO2 Value,Temp Value,Land Sink Value,Ocean Sink Value,Total Sink Value
ACCESS-ESM1-5,295.7701443758878,2.4232371937144888,193.8142686323686,450.8254755193537,641.3171331232244
CESM2,244.53464917890716,2.3555801258585958,422.9231179061105,354.0088556463068,776.5478928971933
GFDL-ESM4,240.21127874200994,1.7203230424360796,528.6899303089489,409.807109485973,936.7574573863636
GISS,289.9769120649858,1.9286249334161931,211.75594780661842,459.7858495874838,663.2546968392351
NorESM2-LM,233.77282216710384,1.4424659206011008,566.1775790127841,394.3516152121804,959.9679232510654
MPI-ESM1-2-LR,228.736552845348,1.8794444691051135,441.5817982066761,373.8699923428622,814.1044977361506
CNRM-ESM2-1,231.17069104594546,2.2694019595733512,434.71206194551536,369.3877346462327,803.8250826792023
UKESM,278.62230909090914,3.4671181818181727,329.03716363636363,377.3511454545453,700.6973336363634
UVic-ESCM-2-10,299.2283269708807,2.370359247381037,227.15524291992188,413.2931823730469,622.6792325106534
HadCM3LC-Bris,305.89906442899996,2.6118491218365936,136.5167000241683,502.01570899969596,629.8307895803695
