,flat10 airborne frac,flat10 land frac,flat10 ocean frac
ACCESS-ESM1-5,0.5270630493164062,0.17936166381835938,0.2933103332519531
CESM2,0.46644974024997726,0.2885531395734827,0.2469646453857422
GFDL-ESM4,0.446568603515625,0.39160296630859376,0.28893743896484375
GISS,0.5346032189941405,0.17026873779296875,0.2999094628095627
NorESM2-LM,0.4486575140274847,0.39146826171875,0.26887738037109377
MPI-ESM1-2-LR,0.43807974457740784,0.31894903564453125,0.25014749145507814
CNRM-ESM2-1,0.4424612627856761,0.30492768665295916,0.2535597200913541
UKESM,0.500502288,0.2690301,0.2535961
UVic-ESCM-2-10,0.5400855712890625,0.1997071075439453,0.2641766357421875
HadCM3LC-Bris,0.5611654698511019,0.11276218809488958,0.338199687036633
